S_min,#C_min_0,#C_min_1,#C_min_2,#C_min_3,#C_min_4,#C_min_5,#C_min_6
-0.500000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.490000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.480000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.470000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.460000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.450000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.440000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.430000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.420000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.410000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.400000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.390000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.380000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.370000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.360000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.350000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.340000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.330000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.320000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.310000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.300000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.290000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.280000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.270000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.260000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.250000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.240000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.230000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.220000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.210000,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-0.200000,-64.578762,-62.161960,-59.687290,-57.211033,-nan,-nan,-nan
-0.190000,-64.587115,-62.168281,-59.684859,-nan,-nan,-nan,-nan
-0.180000,-64.594953,-62.170344,-59.686375,-nan,-nan,-nan,-nan
-0.170000,-64.606390,-62.172367,-59.683207,-57.189091,-nan,-nan,-nan
-0.160000,-64.612802,-62.176832,-59.684551,-57.187941,-nan,-nan,-nan
-0.150000,-64.619507,-62.177973,-59.684768,-57.195184,-nan,-nan,-nan
-0.140000,-64.625151,-62.179947,-59.683382,-57.192808,-nan,-nan,-nan
-0.130000,-64.632995,-62.181515,-59.681109,-57.143448,-nan,-nan,-nan
-0.120000,-64.638117,-62.183503,-59.681577,-57.192996,-nan,-nan,-nan
-0.110000,-64.644343,-62.184020,-59.681885,-57.185465,-nan,-nan,-nan
-0.100000,-64.651840,-62.186035,-59.683268,-57.182659,-nan,-nan,-nan
