S,1_1,1_2,1_3
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000
24,0.000000,0.000000,0.000000
25,0.000000,0.000000,0.000000
26,0.000000,0.000000,0.000000
27,0.000000,0.000000,0.000000
28,0.000000,0.000000,0.000000
29,0.000000,0.000000,0.000000
30,0.000000,0.000156,0.000112
31,0.000000,0.000197,0.000148
32,0.000000,0.000227,0.000164
33,0.000000,0.000263,0.000194
34,0.000000,0.000292,0.000213
35,0.000000,0.000354,0.000259
36,0.000001,0.000370,0.000273
37,0.000004,0.000427,0.000310
38,0.000003,0.000549,0.000409
39,0.000005,0.000503,0.000374
40,0.000005,0.000554,0.000410
41,0.000007,0.000621,0.000472
42,0.000010,0.000706,0.000520
43,0.000010,0.000857,0.000653
44,0.000013,0.000959,0.000734
45,0.000023,0.001109,0.000833
46,0.000023,0.001150,0.000859
47,0.000039,0.001304,0.000986
48,0.000042,0.001375,0.001034
49,0.000058,0.001486,0.001134
50,0.000068,0.001623,0.001244
51,0.000122,0.001768,0.001377
52,0.000160,0.001942,0.001495
53,0.000184,0.002110,0.001615
54,0.000249,0.002304,0.001766
55,0.000341,0.002599,0.002007
56,0.000404,0.002817,0.002197
57,0.000547,0.003080,0.002414
58,0.000660,0.003468,0.002743
59,0.000803,0.003794,0.003007
60,0.001055,0.004198,0.003368
61,0.001320,0.004616,0.003782
62,0.001601,0.005145,0.004267
63,0.002083,0.005776,0.004816
64,0.002515,0.006435,0.005411
65,0.003117,0.007134,0.006086
66,0.003820,0.007893,0.006855
67,0.004570,0.008850,0.007728
68,0.005480,0.009711,0.008672
69,0.006785,0.010714,0.009717
70,0.008157,0.011933,0.010965
71,0.009284,0.013158,0.012169
72,0.010797,0.014343,0.013478
73,0.012565,0.015595,0.014831
74,0.014582,0.016898,0.016340
75,0.016676,0.018367,0.017866
76,0.018865,0.019829,0.019533
77,0.021064,0.021096,0.020992
78,0.023178,0.022341,0.022478
79,0.025581,0.023749,0.024183
80,0.027617,0.024910,0.025599
81,0.029539,0.026041,0.026990
82,0.031510,0.027060,0.028133
83,0.033408,0.027944,0.029274
84,0.034925,0.028507,0.030034
85,0.036007,0.029334,0.030945
86,0.036834,0.029625,0.031418
87,0.037664,0.029842,0.031798
88,0.038188,0.029945,0.031934
89,0.037874,0.029784,0.031777
90,0.037561,0.029430,0.031465
91,0.036500,0.028861,0.030832
92,0.035596,0.028209,0.030046
93,0.034385,0.027366,0.029128
94,0.032780,0.026330,0.027887
95,0.031015,0.025306,0.026747
96,0.029410,0.024259,0.025577
97,0.027371,0.023079,0.024161
98,0.025210,0.021944,0.022795
99,0.023091,0.020621,0.021253
100,0.021092,0.019220,0.019663
101,0.019044,0.017782,0.018165
102,0.017107,0.016441,0.016609
103,0.014908,0.015350,0.015256
104,0.013050,0.013886,0.013705
105,0.011394,0.012771,0.012513
106,0.009748,0.011433,0.011082
107,0.008280,0.010316,0.009934
108,0.006924,0.009335,0.008790
109,0.005707,0.008167,0.007647
110,0.004908,0.007366,0.006799
111,0.003702,0.006338,0.005769
112,0.002893,0.005526,0.004947
113,0.002359,0.004726,0.004167
114,0.001722,0.004024,0.003512
115,0.001332,0.003319,0.002845
116,0.000905,0.002687,0.002275
117,0.000659,0.002181,0.001808
118,0.000456,0.001728,0.001411
119,0.000269,0.001296,0.001040
120,0.000179,0.000961,0.000778
121,0.000000,0.000000,0.000000
122,0.000000,0.000000,0.000000
123,0.000000,0.000000,0.000000
124,0.000000,0.000000,0.000000
125,0.000000,0.000000,0.000000
126,0.000000,0.000000,0.000000
127,0.000000,0.000000,0.000000
128,0.000000,0.000000,0.000000
129,0.000000,0.000000,0.000000
130,0.000000,0.000000,0.000000
131,0.000000,0.000000,0.000000
132,0.000000,0.000000,0.000000
133,0.000000,0.000000,0.000000
134,0.000000,0.000000,0.000000
135,0.000000,0.000000,0.000000
136,0.000000,0.000000,0.000000
137,0.000000,0.000000,0.000000
138,0.000000,0.000000,0.000000
139,0.000000,0.000000,0.000000
140,0.000000,0.000000,0.000000
141,0.000000,0.000000,0.000000
142,0.000000,0.000000,0.000000
143,0.000000,0.000000,0.000000
144,0.000000,0.000000,0.000000
145,0.000000,0.000000,0.000000
146,0.000000,0.000000,0.000000
147,0.000000,0.000000,0.000000
148,0.000000,0.000000,0.000000
149,0.000000,0.000000,0.000000
150,0.000000,0.000000,0.000000
